CompanyId,NameEN,NameHE,SubId,SeedReportId
1863,ABOU RESIDENC,אבו מגורים,1175819,1713800
1397,ABRA,אברא,1101666,1700400
770,ACCEL,אקסל,770016,1594750
1896,ACKERSTEIN GRO,אקרשטיין קבוצה,1176205,1375200
2360,ACRO,אקרו קבוצה,1184902,1591600
1063,ADAMA,אדמה,1110915,1558000
182,ADGAR INV.,אדגר השקעות,1820083,1543000
363,AERODROME GROUP,אירודרום קבוצה,363010,1558750
1457,AEROSPACE INDUS,תעשיה אוירית,1133131,1579400
578,AFCON HOLDINGS,אפקון החזקות,578013,1439500
1172,AFI PROPERTIES,אפי נכסים,1091354,1468750
1338,AFRICA RESIDENC,אפריקה מגורים,1097948,1560800
2482,AGELLAN,אג'לן,1223239,
1473,AIRENGY TECH,אייראנג'י טק,1105907,1378750
1300,AIRPORT CITY,איירפורט סיטי,1095835,1483000
1862,AIRTOUCH,איירטאצ',1173376,1398400
1091,ALARUM TECHNO,אלארום טכנ',1083856,1165000
625,ALBAAD,עלבד,625012,1484500
1382,ALBAR,אלבר,1158740,1373500
491,ALBEN,אלבן,1235779,
1393,ALLMED SOLUTION,אולמד סולושנס,1101450,
2252,ALLOT,אלוט,1099654,
2535,ALLTRADE,אולטרייד מחזור,1236967,
1857,ALMA YESODOT,עלמא יסודות,1173145,
1814,ALMEDA VENTURES,אלמדה ונצ'רס,1168962,1629800
2481,ALMOG,אלמוג,1223320,1692800
1553,ALMOGIM HOLDING,אלמוגים החזקות,1136829,1647400
2063,ALON BLUE SQUAR,אלון רבוע כחול,1183979,1630000
390,ALONY HETZ,אלוני חץ,390013,1408000
387,ALROV PROPERT,"אלרוב נדל""ן",387019,1542250
1729,ALTITUDE INVEST,אלטיטיוד השקעות,1207604,1516600
2367,ALTSHULER FINA,אלטשולר שחם פנ,1184936,
1978,ALUMA,אלומה,1181643,
2516,AMAL HOLDINGS,עמל הולדינגס,1232008,
654,AMANET,אמנת,654012,1522400
2468,AMERICAN EQUITY,אמריקן אקוויטי,1234814,1725800
2234,AMIAD,עמיעד,1094390,
1728,AMIDAR,עמידר,1143585,1253500
1232,AMIR MARKETING,עמיר שיווק,1092204,
1328,AMOT,אמות,1097278,1584200
2471,AMPA,אמפא,1225200,
2385,AMRAM,עמרם,1188200,1725800
2507,AMTRUST RE,אמטראסט אר. אי.,1231943,
1008,ANALYST,אנליסט,1080613,1701250
180,ANGEL SALOMON,אנגל שלמה,180018,1251100
1074,APOLLO POWER,אפולו פאוור,1082114,1706400
1219,ARAD,ארד,1091651,1571600
1122,ARAN,"ארן מו""פ",1085265,1346800
138,ARAZIM,ארזים,1380104,1726000
1975,ARBE ROBOTICS,ארבה רובוטיקס,1179662,1685200
